City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
174,Tromso,NO,69.6496,18.957,54.25,82,0,3.44,clear sky
175,Sotnikovskoye,RU,45.0039,43.7772,69.58,40,0,2.44,clear sky
176,Tondano,ID,1.3038,124.9112,77.09,70,39,3.2,light rain
177,Paamiut,GL,61.994,-49.6678,41.36,98,51,5.1,broken clouds
178,Agirish,RU,61.9247,63.0231,49.44,60,6,3.11,clear sky
179,Suntar,RU,62.1444,117.6319,68.23,58,100,11.01,overcast clouds
180,Taganak,PH,6.0833,118.3,79.16,81,100,18.75,overcast clouds
181,Perbaungan,ID,3.5679,98.956,77.11,90,98,3.18,overcast clouds
182,Ulaangom,MN,49.9811,92.0667,73.36,42,0,3.69,clear sky
183,Port Elizabeth,ZA,-33.918,25.5701,49.42,45,39,6.87,scattered clouds
184,Redlands,US,34.0556,-117.1825,99.64,34,1,12.66,haze
185,Saskylakh,RU,71.9167,114.0833,50.58,51,100,20.96,overcast clouds
186,Geraldton,AU,-28.7667,114.6,63.01,63,75,14.97,broken clouds
187,Iqaluit,CA,63.7506,-68.5145,49.69,81,5,4.0,clear sky
188,Talnakh,RU,69.4865,88.3972,52.18,53,18,1.95,few clouds
189,Eldorado,BR,-23.7869,-54.2836,65.08,43,2,5.93,clear sky
190,Bundi,IN,25.4417,75.6417,90.37,51,47,5.5,scattered clouds
191,Beira,MZ,-19.8436,34.8389,67.86,84,74,13.0,light rain
192,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.87,32,0,4.16,clear sky
193,Port Hardy,CA,50.6996,-127.4199,60.64,71,100,14.56,overcast clouds
194,Camacupa,AO,-12.0167,17.4833,54.05,45,50,4.56,scattered clouds
195,La Ronge,CA,55.1001,-105.2842,69.78,35,14,6.89,few clouds
196,Senanga,ZM,-16.1167,23.2667,51.35,39,44,5.5,scattered clouds
197,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,20.71,few clouds
198,Farmington,US,36.7281,-108.2187,84.88,35,40,8.05,scattered clouds
199,Nizwa,OM,22.9333,57.5333,83.52,68,53,2.06,broken clouds
200,East London,ZA,-33.0153,27.9116,52.41,46,2,6.33,clear sky
201,Lubao,PH,14.9167,120.55,86.14,75,97,2.84,overcast clouds
