City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
392,Puerto Quijarro,BO,74.98,clear sky,-17.7833,-57.7667,Hotel palance
398,Wuwei,CN,76.05,scattered clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
401,Syracuse,IT,76.62,clear sky,37.0881,15.2792,Hotel Posta
407,Darnah,LY,79.07,clear sky,32.767,22.6367,فندق الفردوس
415,Ladario,BR,74.97,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
416,Kiunga,PG,78.87,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
421,Derbent,RU,72.25,overcast clouds,42.0678,48.2899,Elit
431,Moratuwa,LK,78.35,light rain,6.773,79.8816,Sa Mansion By Yoho
432,Santa Isabel,BR,70.66,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
442,Solnechnyy,RU,71.17,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
445,Nipawin,CA,77.32,clear sky,53.3668,-104.0009,Tobin Lake Motel
448,Tucurui,BR,75.94,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
451,San Quintin,MX,72.19,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
456,Banda Aceh,ID,79.66,overcast clouds,5.5577,95.3222,Sulthan Hotel International
460,Fort Nelson,CA,74.53,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
461,Changji,CN,74.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
465,Laje,BR,71.19,overcast clouds,-10.1833,-40.9667,NN Pousada
466,Miyako,JP,75.24,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
471,Kukes,AL,73.31,clear sky,42.0769,20.4219,Hotel ''LUMA''
481,Komsomolskiy,UZ,74.12,broken clouds,40.4272,71.7189,Ikathouse
483,Riberalta,BO,78.82,few clouds,-10.9833,-66.1,Hotel Colonial
486,Biak,ID,77.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
488,Pringsewu,ID,77.29,overcast clouds,-5.3582,104.9744,Urban Style by Front One
490,Ouesso,CG,74.3,overcast clouds,1.6136,16.0517,ABENIE Hotel
492,Guerrero Negro,MX,74.01,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
494,Marfino,RU,71.1,clear sky,55.7028,37.3822,Nemchinovka-Park
502,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Guayacan Real
509,Marawi,PH,77.65,few clouds,7.9986,124.2928,Derogongan Residence
514,Manokwari,ID,79.74,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
515,Parakou,BJ,71.01,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
517,Tura,IN,76.01,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
522,Mazyr,BY,70.03,clear sky,52.0495,29.2456,Euro Mini-Hotel
532,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
540,Vila Velha,BR,70.38,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
546,Zhanaozen,KZ,74.86,clear sky,43.3,52.8,K.korabay 28A
554,Falcoiu,RO,74.32,clear sky,44.2333,24.3667,Turlui Gheorghe
556,Fereydun Kenar,IR,78.73,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
557,Otaru,JP,76.41,few clouds,43.1894,141.0022,Dormy Inn Premium Otaru Natural Hot Spring
564,Castries,LC,78.87,few clouds,13.9957,-61.0061,Marigot Beach Club & Dive Resort
570,Jacareacanga,BR,77.22,clear sky,-6.2222,-57.7528,Casa do Ian😎
571,Takoradi,GH,74.97,light rain,4.8845,-1.7554,Raybow International Hotel
572,Basavana Bagevadi,IN,70.63,light rain,16.5833,75.9667,Vimochan lodge
581,Canutama,BR,78.08,clear sky,-6.5339,-64.3831,Hotel Jhennifer
582,Payo,ID,75.4,overcast clouds,-3.7508,103.6372,Mess keban agung
595,Broome,US,73.15,clear sky,42.2506,-75.833,Chenango Valley State Park
599,Mana,GF,77.77,overcast clouds,5.6592,-53.7767,LE SAMANA
609,Amalapuram,IN,79.18,overcast clouds,16.5833,82.0167,swayamprabha service apartments
612,Flinders,AU,71.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
614,Trairi,BR,79.21,clear sky,-3.2778,-39.2689,janelas do mar
619,Bandarbeyla,SO,77.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
620,Camocim,BR,76.78,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
625,Asahi,JP,79.18,overcast clouds,35.7167,140.65,Hotel Acty Exive
628,Ono,JP,79.88,broken clouds,34.85,134.9333,オーラ 小野店
634,Jacqueville,CI,78.71,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
635,Aragarcas,BR,70.68,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
636,Lamu,KE,73.62,light rain,-2.2717,40.902,Lamu House
637,Ajdabiya,LY,78.49,clear sky,30.7554,20.2263,Almadina Hotel
638,Kinshasa,CD,73.36,overcast clouds,-4.3246,15.3215,Flat Hotel Alhdeef
640,Misratah,LY,79.41,clear sky,32.3754,15.0925,فندق الماسة
641,San Matias,BO,76.32,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
642,Matane,CA,70.84,overcast clouds,48.8286,-67.522,Hotel-Motel Belle Plage
649,Bardiyah,LY,77.54,clear sky,31.7561,25.0865,بورتو بردية
658,Uniontown,US,79.14,broken clouds,39.9001,-79.7164,Fairfield Inn by Marriott Uniontown
