City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Nanortalik,GL,2021-07-13 00:31:51,60.1432,-45.2371,38.91,92,50,10.42
100,West Point,US,2021-07-13 00:31:51,33.6076,-88.6503,82.26,72,1,5.75
101,Bluff,NZ,2021-07-13 00:31:51,-46.6,168.3333,45.9,80,97,9.31
102,Barrow,US,2021-07-13 00:31:52,71.2906,-156.7887,46.42,79,1,14.97
103,Cabo San Lucas,MX,2021-07-13 00:30:02,22.8909,-109.9124,91.18,51,20,14.97
104,Kachug,RU,2021-07-13 00:31:52,53.9606,105.8817,68.68,55,71,4.45
105,Okhotsk,RU,2021-07-13 00:31:53,59.3833,143.3,58.26,85,100,0.94
106,Constitucion,CL,2021-07-13 00:31:53,-35.3333,-72.4167,50.59,84,77,4.03
107,Carnot,CF,2021-07-13 00:31:53,4.9409,15.8665,68.05,98,92,2.37
108,Roma,US,2021-07-13 00:31:53,43.2128,-75.4557,75.13,86,90,13.8
109,Lebu,CL,2021-07-13 00:31:54,-37.6167,-73.65,47.62,84,0,4.27
110,Nikolskoye,RU,2021-07-13 00:31:54,59.7035,30.7861,65.01,64,0,2.24
111,Upernavik,GL,2021-07-13 00:31:54,72.7868,-56.1549,42.55,69,6,3.85
112,Prado,BR,2021-07-13 00:31:55,-17.3411,-39.2208,70.38,82,0,5.66
113,Laguna,US,2021-07-13 00:31:55,38.421,-121.4238,108.43,33,1,5.01
114,Yurimaguas,PE,2021-07-13 00:31:55,-5.9,-76.0833,70.56,99,97,2.01
115,Perry Hall,US,2021-07-13 00:31:56,39.4126,-76.4636,87.28,78,75,1.01
116,Ahuimanu,US,2021-07-13 00:31:56,21.4447,-157.8378,87.51,65,75,10.36
117,Rio Gallegos,AR,2021-07-13 00:31:39,-51.6226,-69.2181,35.65,69,0,21.85
118,Richards Bay,ZA,2021-07-13 00:28:39,-28.783,32.0377,66.33,42,8,11.34
119,Les Cayes,HT,2021-07-13 00:31:57,18.2,-73.75,81.14,82,99,10.76
120,Tigil,RU,2021-07-13 00:31:57,57.8,158.6667,57.83,90,100,8.34
121,Husavik,IS,2021-07-13 00:27:41,66.0449,-17.3389,58.91,72,57,5.82
122,Abomsa,ET,2021-07-13 00:31:58,9.9833,39.9833,67.77,84,100,11.61
123,Russell,US,2021-07-13 00:31:42,32.3502,-85.1999,73.99,90,75,4.61
124,Agadir,MA,2021-07-13 00:31:58,30.4202,-9.5982,81.05,53,12,2.06
125,Margate,GB,2021-07-13 00:31:28,51.3813,1.3862,62.69,95,100,1.99
126,Lompoc,US,2021-07-13 00:31:59,34.6391,-120.4579,82.54,72,1,14.97
127,Puerto Ayora,EC,2021-07-13 00:31:59,-0.7393,-90.3518,71.4,79,29,9.86
128,Hasaki,JP,2021-07-13 00:32:00,35.7333,140.8333,79.2,91,100,1.03
129,Tshikapa,CD,2021-07-13 00:32:00,-6.4167,20.8,65.32,28,12,2.53
130,Yining,CN,2021-07-13 00:32:00,29.0361,114.5636,89.94,57,100,8.41
131,Trincomalee,LK,2021-07-13 00:32:00,8.5711,81.2335,81.01,78,100,19.44
132,Namibe,AO,2021-07-13 00:32:01,-15.1961,12.1522,62.58,80,100,3.69
133,Parfino,RU,2021-07-13 00:32:01,57.9731,31.6481,66.72,86,72,2.71
134,Fortuna,US,2021-07-13 00:27:47,40.5982,-124.1573,87.19,93,90,9.22
135,Butaritari,KI,2021-07-13 00:32:02,3.0707,172.7902,82.49,77,100,13.42
136,Sabang,ID,2021-07-13 00:32:02,5.8933,95.3214,82.62,74,94,16.11
137,Vanavara,RU,2021-07-13 00:32:02,60.34,102.2797,64.62,73,97,3.74
138,Hervey Bay,AU,2021-07-13 00:32:03,-25.2986,152.8535,67.01,80,0,3.0
139,Port Macquarie,AU,2021-07-13 00:32:03,-31.4333,152.9167,57.16,53,0,2.84
140,Lagoa,PT,2021-07-13 00:32:03,39.05,-27.9833,67.05,73,45,17.31
141,Saldanha,ZA,2021-07-13 00:32:04,-33.0117,17.9442,46.45,60,96,23.8
142,Kodiak,US,2021-07-13 00:29:57,57.79,-152.4072,54.91,82,90,12.66
143,Maamba,ZM,2021-07-13 00:32:04,-17.3667,27.15,57.96,67,0,2.46
144,Riyadh,SA,2021-07-13 00:31:42,24.6877,46.7219,89.74,12,86,3.89
145,Tuktoyaktuk,CA,2021-07-13 00:32:05,69.4541,-133.0374,62.6,55,40,6.91
146,Kalianget,ID,2021-07-13 00:32:05,-7.05,113.9333,81.07,73,6,9.26
147,Viedma,AR,2021-07-13 00:32:05,-40.8135,-62.9967,43.68,67,6,4.72
148,Talnakh,RU,2021-07-13 00:32:06,69.4865,88.3972,37.8,79,99,8.05
149,Bilibino,RU,2021-07-13 00:32:06,68.0546,166.4372,78.31,39,100,9.17
150,Sao Joao Da Barra,BR,2021-07-13 00:32:07,-21.6403,-41.0511,69.87,86,0,5.53
151,Tiksi,RU,2021-07-13 00:32:07,71.6872,128.8694,47.97,66,43,8.57
152,Geraldton,AU,2021-07-13 00:32:07,-28.7667,114.6,63.01,77,75,16.11
153,Lodja,CD,2021-07-13 00:32:08,-3.4833,23.4333,64.44,36,88,0.81
154,Quetta,PK,2021-07-13 00:32:08,30.199,67.0097,72.43,78,3,6.58
155,Kaeo,NZ,2021-07-13 00:32:08,-35.1,173.7833,56.32,69,100,10.22
156,Arraial Do Cabo,BR,2021-07-13 00:29:03,-22.9661,-42.0278,70.3,81,0,10.36
157,Basqal,AZ,2021-07-13 00:32:09,40.7552,48.391,64.85,59,6,5.08
158,Tarakan,ID,2021-07-13 00:32:09,3.3,117.6333,81.9,89,40,6.91
159,Quang Ngai,VN,2021-07-13 00:32:09,15.1167,108.8,85.95,63,97,2.15
160,Kongolo,CD,2021-07-13 00:32:10,-5.3833,27.0,69.21,37,0,2.13
161,Kalaleh,IR,2021-07-13 00:32:10,37.3807,55.4916,74.8,73,40,4.61
162,Nuuk,GL,2021-07-13 00:32:11,64.1835,-51.7216,47.01,81,0,4.61
163,Saint-Philippe,RE,2021-07-13 00:32:11,-21.3585,55.7679,67.59,77,38,12.35
164,Samfya,ZM,2021-07-13 00:32:12,-11.3649,29.5565,56.07,77,5,5.55
165,Hay River,CA,2021-07-13 00:32:12,60.8156,-115.7999,73.38,38,20,4.61
166,Frolovo,RU,2021-07-13 00:32:13,49.7713,43.6622,62.24,58,0,8.9
167,Mapiri,BO,2021-07-13 00:32:13,-15.25,-68.1667,70.57,80,77,0.45
168,Grand Gaube,MU,2021-07-13 00:32:13,-20.0064,57.6608,70.2,66,0,20.98
169,San Miguel,SV,2021-07-13 00:32:14,13.4833,-88.1833,87.46,70,20,2.3
170,Weiser,US,2021-07-13 00:32:14,44.251,-116.9693,106.0,9,0,5.53
171,Nome,US,2021-07-13 00:28:16,64.5011,-165.4064,64.17,76,1,10.36
172,Santa Rosa,PH,2021-07-13 00:32:14,14.3122,121.1114,88.09,64,100,7.49
173,Bayonet Point,US,2021-07-13 00:32:15,28.3267,-82.6834,79.99,97,20,10.22
174,Krasnoselkup,RU,2021-07-13 00:32:15,65.7,82.4667,44.46,65,100,9.1
175,Sola,VU,2021-07-13 00:32:15,-13.8833,167.55,84.87,79,75,0.0
176,Toora-Khem,RU,2021-07-13 00:32:16,52.4675,96.11,58.75,74,100,2.3
177,Denpasar,ID,2021-07-13 00:32:17,-8.65,115.2167,80.26,83,20,12.66
178,Santa Juliana,PH,2021-07-13 00:32:17,15.3283,120.4286,82.54,67,99,4.56
